configuration,dataset,metric,n_seeds,mean,std,n_pairs,mean_full_minus_ablated,paired_std,full_win_rate,ties,paired_ci95_low,paired_ci95_high,paired_differences
Backbone,NCI1,NMI,3,19.00348472556253,0.6762752379375869,3,-0.2556636672271691,0.5578326030141193,0.3333333333333333,0,-1.6413966732183936,1.1300693387640555,"[-0.8857764463282116, -0.056346757525481905, 0.17513220217218617]"
Backbone,NCI1,ARI,3,24.82890882477355,0.8043153492964122,3,-0.25914369129625925,0.761814001121918,0.3333333333333333,0,-2.151594580822624,1.6333071982301055,"[-1.1118497390735484, -0.019953348966765816, 0.3543720141515365]"
Backbone,NCI1,Macro-F1,3,74.8965903777381,0.3989897352189439,3,-0.12830439716363173,0.4111986986406354,0.3333333333333333,0,-1.1497785914794934,0.8931697971522299,"[-0.5842774674347879, -0.01499475226481195, 0.21435902820870467]"
Backbone,Mutagenicity,ACC,3,76.91048277881968,0.31357403250567106,3,-0.03814590210279315,0.2846350309481332,0.3333333333333333,0,-0.7452185165662731,0.6689267123606869,"[0.27692279104832096, -0.2767104269447316, -0.11465007041196884]"
Backbone,Mutagenicity,NMI,3,21.75376373389903,0.5831974889479249,3,-0.1212052287164352,0.457494169901815,0.3333333333333333,0,-1.2576837490754467,1.0152732916425764,"[0.3994071395722294, -0.45911931827511054, -0.30390350744642447]"
Backbone,Mutagenicity,ARI,3,28.996903348806228,0.7266050513617921,3,-0.11876908748847607,0.6100590687915902,0.3333333333333333,0,-1.6342398266689544,1.396701651692002,"[0.5749506988840416, -0.5716323339769467, -0.3596256273725231]"
Backbone,Mutagenicity,Macro-F1,3,76.55534259080156,0.32020720668176084,3,-0.03992399184832607,0.24688631294087382,0.3333333333333333,0,-0.6532235923397443,0.5733756086430921,"[0.23478037814463448, -0.24327605069026959, -0.1112763029993431]"
Backbone,COLLAB,ACC,3,73.22666666666666,0.15534906930308717,3,-0.40000000000000097,0.5480875842417874,0.3333333333333333,0,-1.761525037357161,0.9615250373571589,"[0.020000000000010232, -0.20000000000001705, -1.019999999999996]"
Backbone,COLLAB,NMI,3,29.15909376947751,1.0939914737334842,3,-1.2393265154277806,0.8848543942952235,0.0,0,-3.4374266857045415,0.9587736548489803,"[-0.9591153009161069, -2.230360178132482, -0.5285040672347527]"
Backbone,COLLAB,ARI,3,33.50296338922043,0.305096568664767,3,-0.6015634906097796,1.2557138659982188,0.6666666666666666,0,-3.7209296603037556,2.5178026790841965,"[0.2382571675495413, 0.002168334511345904, -2.0451159738902263]"
Backbone,COLLAB,Macro-F1,3,70.76466073830697,0.5424634994596039,3,-0.57473792629537,0.3443621884699759,0.0,0,-1.430181025174512,0.2807051725837718,"[-0.24419445799078687, -0.9314282554657893, -0.5485910654295338]"
Backbone,MUTAG,ACC,3,85.09246088193457,1.0679937038233764,3,0.6970128022759733,1.10468724411686,0.6666666666666666,0,-2.047182440524262,3.441208045076208,"[1.621621621621614, -0.5263157894736707, 0.9957325746799768]"
Backbone,MUTAG,NMI,3,40.20099090920932,2.024766716776635,3,3.2241282262151145,2.581002604621755,1.0,0,-3.187437678051614,9.635694130481843,"[5.784202166130811, 0.6226940746015472, 3.2654884379129854]"
Backbone,MUTAG,ARI,3,48.777691058644116,2.9156661189113824,3,1.8298666480573378,3.1050250595483204,0.6666666666666666,0,-5.883443198296459,9.543176494411135,"[4.670394128793156, -1.485056255276703, 2.304262070655561]"
Backbone,MUTAG,Macro-F1,3,83.54988580083888,1.2313671091853842,3,0.7070790844131997,1.339290808950402,0.6666666666666666,0,-2.619903721101101,4.0340618899275,"[2.097421379400288, -0.5745314018158609, 0.598347275655172]"
Backbone,PTC_MR,ACC,3,59.69747899159665,2.2263198887755733,3,-1.6554621848739544,2.6529745820837944,0.3333333333333333,0,-8.245816392543379,4.934892022795471,"[-4.109243697478995, 1.1596638655462144, -2.0168067226890827]"
Backbone,PTC_MR,NMI,3,3.648043024924617,1.9209426555087747,3,-1.480822240859169,2.0462434102018725,0.0,0,-6.563972663562241,3.6023281818439035,"[-3.829142446601172, -0.5328396175754735, -0.08048465840086139]"
Backbone,PTC_MR,ARI,3,4.025011624057608,2.612027411648682,3,-1.9397056281958942,2.770092157602489,0.0,0,-8.820996021920076,4.941584765528287,"[-5.121128406415849, -0.6359130277321632, -0.062075450439669666]"
Backbone,PTC_MR,Macro-F1,3,58.76791194236432,2.3428892058846973,3,-1.9561818301176146,3.0068504963780107,0.3333333333333333,0,-9.425612541765432,5.513248881530202,"[-4.742435659872605, 1.2310303961930984, -2.3571402266733372]"
ACVG only,NCI1,ACC,0,,,0,,,,0,,,[]
ACVG only,NCI1,NMI,0,,,0,,,,0,,,[]
ACVG only,NCI1,ARI,0,,,0,,,,0,,,[]
ACVG only,NCI1,Macro-F1,0,,,0,,,,0,,,[]
ACVG only,Mutagenicity,ACC,0,,,0,,,,0,,,[]
ACVG only,Mutagenicity,NMI,0,,,0,,,,0,,,[]
ACVG only,Mutagenicity,ARI,0,,,0,,,,0,,,[]
ACVG only,Mutagenicity,Macro-F1,0,,,0,,,,0,,,[]
ACVG only,COLLAB,ACC,0,,,0,,,,0,,,[]
ACVG only,COLLAB,NMI,0,,,0,,,,0,,,[]
ACVG only,COLLAB,ARI,0,,,0,,,,0,,,[]
ACVG only,COLLAB,Macro-F1,0,,,0,,,,0,,,[]
ACVG only,MUTAG,ACC,0,,,0,,,,0,,,[]
ACVG only,MUTAG,NMI,0,,,0,,,,0,,,[]
