configuration,dataset,seed,metric,full,ablated,full_minus_ablated,full_win,tie
w/o LTCP,COLLAB,1,ARI,33.812240885046776,32.99174599392553,0.8204948911212497,1,0
w/o LTCP,COLLAB,2,ARI,31.453781591735968,34.26463492189092,-2.8108533301549485,0,0
w/o LTCP,COLLAB,0,Macro-F1,70.61227305504114,69.69130993459595,0.9209631204451938,1,0
w/o LTCP,COLLAB,1,Macro-F1,70.32393443027505,70.57338429481413,-0.24944986453908768,0,0
w/o LTCP,COLLAB,2,Macro-F1,69.63356095071859,70.92931919877947,-1.2957582480608778,0,0
w/o LTCP,MUTAG,0,ACC,85.61877667140826,82.95874822190612,2.6600284495021356,1,0
w/o LTCP,MUTAG,1,ACC,85.60455192034141,84.01137980085349,1.5931721194879174,1,0
w/o LTCP,MUTAG,2,ACC,86.14509246088195,84.55192034139402,1.5931721194879316,1,0
w/o LTCP,MUTAG,0,NMI,43.727535778964274,35.85194915755248,7.8755866214117916,1,0
w/o LTCP,MUTAG,1,NMI,42.47874353086153,37.9445275097985,4.534216021063031,1,0
w/o LTCP,MUTAG,2,NMI,44.06907809644749,40.729103654429764,3.339974442017727,1,0
w/o LTCP,MUTAG,0,ARI,50.36863968306892,42.085368837674125,8.283270845394796,1,0
w/o LTCP,MUTAG,1,ARI,50.01086103717009,45.66625097832433,4.34461005884576,1,0
w/o LTCP,MUTAG,2,ARI,51.44317239986536,47.10580792130038,4.337364478564979,1,0
w/o LTCP,MUTAG,0,Macro-F1,84.26959884351322,81.17394908775984,3.095649755753385,1,0
w/o LTCP,MUTAG,1,Macro-F1,83.96868313409139,82.12104081619856,1.8476423178928343,1,0
w/o LTCP,MUTAG,2,Macro-F1,84.53261267815162,82.81983909809996,1.7127735800516604,1,0
w/o LTCP,PTC_MR,0,ACC,58.134453781512605,54.91596638655462,3.2184873949579824,1,0
w/o LTCP,PTC_MR,1,ACC,59.890756302521005,56.12605042016806,3.764705882352942,1,0
w/o LTCP,PTC_MR,2,ACC,56.10084033613445,60.142857142857146,-4.0420168067226925,0,0
w/o LTCP,PTC_MR,0,NMI,1.942877396633276,1.060139550166364,0.882737846466912,1,0
w/o LTCP,PTC_MR,1,NMI,2.6068959010750636,1.2010486406565097,1.405847260418554,1,0
w/o LTCP,PTC_MR,2,NMI,1.9518890544880036,3.09607972798965,-1.1441906735016463,0,0
w/o LTCP,PTC_MR,0,ARI,1.7948295111347128,0.17895872229651313,1.6158707888381996,1,0
w/o LTCP,PTC_MR,1,ARI,2.6882792921854723,0.579774057480556,2.1085052347049165,1,0
w/o LTCP,PTC_MR,2,ARI,1.772809184264959,3.2965854983664555,-1.5237763141014966,0,0
w/o LTCP,PTC_MR,0,Macro-F1,56.711828123889156,53.82425275996923,2.887575363919929,1,0
w/o LTCP,PTC_MR,1,Macro-F1,58.9328316975609,55.26551297240915,3.667318725151752,1,0
w/o LTCP,PTC_MR,2,Macro-F1,54.79053051529006,59.49180574775018,-4.7012752324601195,0,0
Backbone,NCI1,0,ACC,73.89329855090162,74.47638223416745,-0.5830836832658264,0,0
Backbone,NCI1,1,ACC,75.03593467664817,75.06067982836205,-0.024745151713887026,0,0
Backbone,NCI1,2,ACC,75.45024080941394,75.25523855535519,0.1950022540587497,1,0
Backbone,NCI1,0,NMI,17.381924645891946,18.267701092220157,-0.8857764463282116,0,0
Backbone,NCI1,1,NMI,19.08850157205767,19.14484832958315,-0.056346757525481905,0,0
Backbone,NCI1,2,NMI,19.773036957056473,19.597904754884286,0.17513220217218617,1,0
Backbone,NCI1,0,ARI,22.81928600963682,23.931135748710368,-1.1118497390735484,0,0
Backbone,NCI1,1,ARI,25.051866750673458,25.071820099640224,-0.019953348966765816,0,0
Backbone,NCI1,2,ARI,25.838142640121582,25.483770625970045,0.3543720141515365,1,0
Backbone,NCI1,0,Macro-F1,73.8624155416315,74.4466930090663,-0.5842774674347879,0,0
Backbone,NCI1,1,Macro-F1,75.02059620304271,75.03559095530753,-0.01499475226481195,0,0
Backbone,NCI1,2,Macro-F1,75.42184619704912,75.20748716884042,0.21435902820870467,1,0
Backbone,Mutagenicity,0,ACC,77.07970157534346,76.80277878429514,0.27692279104832096,1,0
Backbone,Mutagenicity,1,ACC,76.38824405413693,76.66495448108166,-0.2767104269447316,0,0
Backbone,Mutagenicity,2,ACC,77.14906500067028,77.26371507108225,-0.11465007041196884,0,0
Backbone,Mutagenicity,0,NMI,21.97868997460652,21.57928283503429,0.3994071395722294,1,0
Backbone,Mutagenicity,1,NMI,20.818602854813037,21.277722173088147,-0.45911931827511054,0,0
Backbone,Mutagenicity,2,NMI,22.100382686128228,22.404286193574652,-0.30390350744642447,0,0
Backbone,Mutagenicity,0,ARI,29.33314448211713,28.75819378323309,0.5749506988840416,1,0
