configuration,dataset,seed,status,use_acvg,use_rdtg,use_ltcp,ACC,NMI,ARI,Macro-F1,split_sha256,failed_attempts,duration_seconds,result_path
w/o RDTG,COLLAB,2,completed,1,0,1,73.14000000000001,28.905678863199476,33.429268825809814,69.90371297421544,b3f7393c3a73bd9e906f0775d3fbbdf69fa13e55f848115da83429a5fa91f6bd,0,1058.2250639828853,/home/Lim/Project-xmlg/output/ablation/jobs/without_RDTG__COLLAB__seed2.json
w/o RDTG,COLLAB,3,pending,1,0,1,,,,,b3f7393c3a73bd9e906f0775d3fbbdf69fa13e55f848115da83429a5fa91f6bd,0,,/home/Lim/Project-xmlg/output/ablation/jobs/without_RDTG__COLLAB__seed3.json
w/o RDTG,COLLAB,4,pending,1,0,1,,,,,b3f7393c3a73bd9e906f0775d3fbbdf69fa13e55f848115da83429a5fa91f6bd,0,,/home/Lim/Project-xmlg/output/ablation/jobs/without_RDTG__COLLAB__seed4.json
w/o RDTG,MUTAG,0,completed,1,0,1,87.21194879089617,44.974080476018074,54.4729696120585,85.69969937654143,28e2e07cffef62098c674f89a00476c8927951b6ecace0e182f8b71e197e39bb,0,9.295531283132732,/home/Lim/Project-xmlg/output/ablation/jobs/without_RDTG__MUTAG__seed0.json
w/o RDTG,MUTAG,1,completed,1,0,1,87.21194879089617,46.28582349891941,54.45736589559609,85.26613127198608,28e2e07cffef62098c674f89a00476c8927951b6ecace0e182f8b71e197e39bb,0,10.504565090872347,/home/Lim/Project-xmlg/output/ablation/jobs/without_RDTG__MUTAG__seed1.json
w/o RDTG,MUTAG,2,completed,1,0,1,85.06401137980086,42.23660980906712,48.78150128476085,83.55843334832889,28e2e07cffef62098c674f89a00476c8927951b6ecace0e182f8b71e197e39bb,0,9.103926038136706,/home/Lim/Project-xmlg/output/ablation/jobs/without_RDTG__MUTAG__seed2.json
w/o RDTG,MUTAG,3,pending,1,0,1,,,,,28e2e07cffef62098c674f89a00476c8927951b6ecace0e182f8b71e197e39bb,0,,/home/Lim/Project-xmlg/output/ablation/jobs/without_RDTG__MUTAG__seed3.json
w/o RDTG,MUTAG,4,pending,1,0,1,,,,,28e2e07cffef62098c674f89a00476c8927951b6ecace0e182f8b71e197e39bb,0,,/home/Lim/Project-xmlg/output/ablation/jobs/without_RDTG__MUTAG__seed4.json
w/o RDTG,PTC_MR,0,completed,1,0,1,59.596638655462186,2.8852130114452557,3.059282414469654,58.220204879156746,00a16c4486514f1d2c7bf19b3238b64e2421dc70d9baccfc646995642118cf5c,0,12.492810962023214,/home/Lim/Project-xmlg/output/ablation/jobs/without_RDTG__PTC_MR__seed0.json
w/o RDTG,PTC_MR,1,completed,1,0,1,57.5546218487395,1.7772678867388847,1.4828031297666062,56.48252067628723,00a16c4486514f1d2c7bf19b3238b64e2421dc70d9baccfc646995642118cf5c,0,14.209795922972262,/home/Lim/Project-xmlg/output/ablation/jobs/without_RDTG__PTC_MR__seed1.json
w/o RDTG,PTC_MR,2,completed,1,0,1,56.109243697478995,1.2271989947519144,0.6157261610053351,54.71048983072527,00a16c4486514f1d2c7bf19b3238b64e2421dc70d9baccfc646995642118cf5c,0,15.267694239038974,/home/Lim/Project-xmlg/output/ablation/jobs/without_RDTG__PTC_MR__seed2.json
w/o RDTG,PTC_MR,3,pending,1,0,1,,,,,00a16c4486514f1d2c7bf19b3238b64e2421dc70d9baccfc646995642118cf5c,0,,/home/Lim/Project-xmlg/output/ablation/jobs/without_RDTG__PTC_MR__seed3.json
w/o RDTG,PTC_MR,4,pending,1,0,1,,,,,00a16c4486514f1d2c7bf19b3238b64e2421dc70d9baccfc646995642118cf5c,0,,/home/Lim/Project-xmlg/output/ablation/jobs/without_RDTG__PTC_MR__seed4.json
w/o LTCP,NCI1,0,completed,1,1,0,75.18271916141676,19.32235687622689,25.33891548357708,75.16607604652548,732066f12d1096a6ec16ed075f0f4a3c34e95443373dabf5da22c785d7897efe,0,147.62187017314136,/home/Lim/Project-xmlg/output/ablation/jobs/without_LTCP__NCI1__seed0.json
